,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2021,August 2021,September 2021,October 2021,,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,FYTD,Grand Total
Wagers,"$203,003,019.37","$187,009,397.35","$186,301,793.42","$193,948,768.15",,"$173,552,276.06","$180,300,310.65","$161,545,978.18","$188,570,197.64","$193,966,313.96","$205,593,637.47","$190,021,984.96","$182,475,451.80","$2,246,289,129.01","$38,432,541,195.55"
Payouts,"$182,524,590.92","$167,974,474.05","$167,177,176.39","$174,537,593.26",,"$155,684,684.58","$161,916,011.27","$145,569,231.24","$169,476,356.45","$173,935,760.48","$184,728,939.07","$170,856,254.79","$164,174,383.20","$2,018,555,455.70","$34,645,162,827.45"
Promotional Plays (Internal) 1,"$2,684,703.60","$2,727,073.43","$3,090,207.97","$3,258,911.75",,"$2,893,465.23","$2,738,899.22","$2,568,929.31","$3,533,210.74","$3,307,334.30","$3,153,836.75","$3,462,259.81","$3,143,646.24","$36,562,478.35","$646,619,537.31"
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Adjustments 2,$0.00,$0.00,"($22,596.42)",$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"($22,596.42)","$504,650.55"
Gross Terminal Revenue,"$17,793,724.85","$16,307,849.87","$16,034,409.06","$16,152,263.14",,"$14,974,126.25","$15,645,400.16","$13,407,817.63","$15,560,630.45","$16,723,219.18","$17,710,861.65","$15,703,470.36","$15,157,422.36","$191,171,194.96","$3,141,296,551.76"
State Tax (34%),"$6,049,866.45","$5,544,668.96","$5,444,016.30","$5,491,769.46",,"$5,091,202.91","$5,319,436.05","$4,558,658.00","$5,290,614.35","$5,685,894.54","$6,021,692.98","$5,339,179.93","$5,153,523.60","$64,990,523.53","$1,068,033,205.34"
LSA (2%) 3,"$355,874.54","$326,157.00","$320,236.24","$323,045.27",,"$299,482.49","$312,908.01","$268,156.37","$311,212.61","$334,464.39","$354,217.24","$314,069.41","$303,148.45","$3,822,972.02","$105,412,046.27"
EDTF (5.5%) 4,"$978,654.87","$896,931.74","$880,649.69","$888,374.47",,"$823,576.94","$860,497.03","$737,429.99","$855,834.68","$919,777.09","$974,097.40","$863,690.88","$833,658.23","$10,513,173.01","$162,246,711.53"
PRHDF 5,"$1,671,631.57","$1,538,188.31","$1,515,015.85","$1,533,489.43",,"$1,387,055.27","$1,492,370.93","$1,305,804.93","$1,508,254.20","$1,580,005.01","$1,669,435.46","$1,461,647.82","$1,410,821.42","$18,073,720.20","$341,090,476.53"
Taxable w/s/d,$332.17,$304.43,$309.31,$301.53,,$288.85,$292.07,$249.80,$321.66,$312.55,$346.04,$297.45,$296.68,,
Number of Machines 6,"1,728","1,728","1,728","1,728",,"1,728","1,728","1,731","1,727","1,726","1,704","1,703","1,703",,
GTR % Change 7,22.85%,23.87%,32.97%,29.09%,,54.67%,410.21%,27.98%,46.68%,11.07%,16.93%,4.18%,8.00%,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Parx Casino,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2021,August 2021,September 2021,October 2021,,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,FYTD,Grand Total
Wagers,"$492,193,631.39","$470,041,126.68","$443,121,833.89","$452,498,945.94",,"$415,960,443.63","$439,469,583.71","$393,760,227.81","$421,898,155.42","$449,890,663.26","$450,937,785.66","$444,205,401.18","$410,579,064.52","$5,284,556,863.09","$77,107,485,121.50"
Payouts,"$444,439,162.60","$424,454,862.63","$400,923,772.39","$409,818,785.52",,"$376,083,675.57","$397,129,457.91","$357,122,152.82","$380,051,871.57","$405,481,965.65","$406,410,023.98","$401,072,751.69","$370,592,192.11","$4,773,580,674.44","$70,041,603,607.82"
Promotional Plays (Internal) 1,"$9,237,085.23","$9,286,397.00","$8,729,734.20","$8,992,245.17",,"$8,272,578.72","$8,681,009.34","$7,693,204.81","$7,911,828.64","$8,445,078.51","$8,748,737.55","$8,797,295.22","$8,268,903.95","$103,064,098.34","$1,314,900,967.91"
Promotional Plays (External) 1,"$16,936.09","$29,194.21","$12,314.23","$27,884.70",,"$23,888.03","$13,662.03","$14,091.00","$51,825.94","$8,912.66","$27,548.95","$7,659.90","$30,976.30","$264,894.04","$524,120.16"
Adjustments 2,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$462,550.78"
Gross Terminal Revenue,"$38,517,383.56","$36,299,867.05","$33,468,327.30","$33,687,915.25",,"$31,604,189.34","$33,659,116.46","$28,944,870.18","$33,934,455.21","$35,963,619.10","$35,779,024.13","$34,335,354.27","$31,717,968.46","$407,912,090.31","$5,751,443,096.55"
State Tax (34%),"$13,095,910.43","$12,341,954.78","$11,379,231.26","$11,453,891.20",,"$10,745,424.39","$11,444,099.60","$9,841,255.85","$11,537,714.78","$12,227,630.50","$12,164,868.21","$11,674,020.45","$10,784,109.29","$138,690,110.74","$1,955,490,653.33"
LSA (2%) 3,"$770,347.66","$725,997.33","$669,366.54","$673,758.32",,"$632,083.78","$673,182.34","$578,897.41","$678,689.11","$719,272.41","$715,580.49","$686,707.08","$634,359.37","$8,158,241.84","$186,822,698.26"
EDTF (5.5%) 4,"$2,118,456.06","$1,996,492.68","$1,840,758.02","$1,852,835.35",,"$1,738,230.41","$1,851,251.40","$1,591,967.89","$1,866,395.04","$1,977,999.06","$1,967,846.33","$1,888,444.45","$1,744,488.29","$22,435,164.98","$298,856,453.61"
PRHDF 5,"$3,620,228.66","$3,420,589.24","$3,307,718.08","$3,189,837.03",,"$2,928,784.30","$3,220,986.54","$2,833,060.73","$3,285,673.91","$3,399,455.02","$3,370,052.74","$3,200,144.76","$2,964,168.62","$38,740,699.63","$620,848,612.12"
Taxable w/s/d,$406.09,$384.43,$366.39,$357.00,,$346.31,$356.93,$306.94,$398.40,$385.27,$397.34,$369.69,$352.89,,
Number of Machines 6,"3,059","3,046","3,044","3,044",,"3,042","3,042","3,042","3,042","3,012","3,000","2,996","2,996",,
GTR % Change 7,6.46%,2.99%,6.82%,8.48%,,14.71%,240.89%,2.48%,25.83%,-2.18%,-4.78%,-9.17%,-8.93%,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Harrah's Philadelphia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
