,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$199,150,965.58","$180,632,994.60","$185,024,745.83","$184,875,759.06","$171,680,486.95","$179,019,080.96","$186,277,146.40","$177,764,405.76","$194,605,554.04","$187,164,785.59","$177,036,085.22","$175,068,564.61","$2,198,300,574.60","$40,630,841,770.15",
Payouts,"$179,039,939.25","$162,584,666.09","$165,733,047.99","$166,102,875.61","$154,364,994.96","$161,111,683.70","$167,618,376.64","$160,237,162.63","$175,086,656.65","$168,231,777.95","$158,764,165.33","$157,553,501.45","$1,976,428,848.25","$36,621,591,675.70",
Promotional Plays (Internal) 1,"$3,593,260.38","$3,136,921.80","$3,635,798.02","$3,756,147.06","$3,150,477.99","$3,406,923.15","$3,279,768.14","$2,933,368.76","$3,021,430.80","$2,687,674.15","$2,594,996.15","$2,638,037.38","$37,834,803.78","$684,454,341.09",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$504,650.55",
Gross Terminal Revenue,"$16,517,765.95","$14,911,406.71","$15,655,899.82","$15,016,736.39","$14,165,014.00","$14,500,474.11","$15,379,001.62","$14,593,874.37","$16,497,466.59","$16,245,333.49","$15,676,923.74","$14,877,025.78","$184,036,922.57","$3,325,333,474.33",
State Tax (34%),"$5,616,040.43","$5,069,878.28","$5,323,005.93","$5,105,690.37","$4,816,104.77","$4,930,161.24","$5,228,860.55","$4,961,917.27","$5,609,138.65","$5,523,413.41","$5,330,154.09","$5,058,188.77","$62,572,553.76","$1,130,605,759.10",
LSA (2%) 3,"$330,355.32","$298,228.14","$313,118.00","$300,334.74","$283,300.28","$290,009.48","$307,580.04","$291,877.47","$329,949.36","$324,906.67","$313,538.47","$297,540.50","$3,680,738.47","$109,092,784.74",
EDTF (5.5%) 4,"$908,477.15","$820,127.38","$861,074.50","$825,920.51","$779,075.75","$797,526.09","$845,845.11","$802,663.08","$907,360.66","$893,493.33","$862,230.80","$818,236.40","$10,122,030.76","$172,368,742.29",
PRHDF 5,"$1,524,658.03","$1,375,685.82","$1,451,770.14","$1,384,491.37","$1,295,529.07","$1,326,050.61","$1,405,592.04","$1,318,419.51","$1,489,295.47","$1,470,965.31","$1,409,498.52","$1,330,249.20","$16,782,205.09","$357,872,681.62",
Taxable w/s/d,$312.88,$282.45,$306.44,$284.45,$277.26,$274.67,$291.35,$306.05,$312.49,$317.97,$296.27,$294.52,,,
Number of Machines 6,"1,703","1,703","1,703","1,703","1,703","1,703","1,702","1,703","1,703","1,703","1,707","1,683",,,
GTR % Change 7,-7.17%,-8.56%,-2.36%,-7.03%,-5.40%,-7.32%,14.70%,-6.21%,-1.35%,-8.27%,-0.17%,-1.85%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Parx Casino,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$442,790,573.43","$416,153,886.26","$411,262,449.45","$411,620,809.91","$388,389,951.65","$418,054,579.54","$427,575,776.67","$396,478,536.51","$444,992,378.05","$426,403,512.39","$438,086,957.07","$406,988,713.72","$5,028,798,124.65","$82,136,283,246.15",
Payouts,"$400,543,145.52","$375,450,968.47","$370,742,784.26","$371,223,579.12","$350,705,836.57","$376,798,296.78","$386,333,604.57","$357,889,904.23","$401,711,258.57","$384,776,645.56","$395,609,643.94","$367,734,903.50","$4,539,520,571.09","$74,581,124,178.91",
Promotional Plays (Internal) 1,"$8,597,305.64","$8,281,917.53","$8,263,963.06","$8,358,876.75","$7,660,336.06","$8,498,168.25","$8,596,979.43","$7,848,116.07","$8,148,575.43","$8,366,679.08","$8,563,883.52","$8,150,019.32","$99,334,820.14","$1,414,235,788.05",
Promotional Plays (External) 1,"$28,866.78","$12,221.26","$14,680.62","$32,785.27","$25,826.98","$5,982.50","$10,416.60","$6,037.21","$26,061.59","$5,180.55","$29,308.70","$8,441.58","$205,809.64","$729,929.80",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$462,550.78",
Gross Terminal Revenue,"$33,650,122.27","$32,421,000.26","$32,255,702.13","$32,038,354.04","$30,023,779.02","$32,758,114.51","$32,645,192.67","$30,740,516.21","$35,132,544.05","$33,260,187.75","$33,913,429.61","$31,103,790.90","$389,942,733.42","$6,141,385,829.97",
State Tax (34%),"$11,441,041.55","$11,023,140.09","$10,966,938.71","$10,893,040.39","$10,208,084.86","$11,137,758.91","$11,099,365.52","$10,451,775.51","$11,945,064.99","$11,308,463.83","$11,530,566.04","$10,575,288.91","$132,580,529.31","$2,088,071,182.64",
LSA (2%) 3,"$673,002.46","$648,420.01","$645,114.03","$640,767.09","$600,475.58","$655,162.31","$652,903.84","$614,810.33","$702,650.88","$665,203.75","$678,268.60","$622,075.84","$7,798,854.72","$194,621,552.98",
EDTF (5.5%) 4,"$1,850,756.71","$1,783,155.00","$1,774,063.67","$1,762,109.48","$1,651,307.85","$1,801,696.33","$1,795,485.58","$1,690,728.40","$1,932,289.92","$1,829,310.32","$1,865,238.60","$1,710,708.52","$21,446,850.38","$320,303,303.99",
PRHDF 5,"$3,101,815.43","$2,998,440.11","$2,997,437.70","$2,946,860.68","$2,744,986.08","$2,997,034.13","$2,984,851.04","$2,781,440.02","$3,173,197.09","$3,010,301.32","$3,061,995.78","$2,782,775.72","$35,581,135.10","$656,429,747.22",
Taxable w/s/d,$362.31,$349.08,$358.88,$344.96,$334.04,$352.71,$351.49,$366.45,$378.27,$370.05,$365.15,$346.06,,,
Number of Machines 6,"2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996",,,
GTR % Change 7,-12.64%,-10.69%,-3.62%,-4.90%,-5.00%,-2.68%,12.78%,-9.41%,-2.31%,-7.04%,-1.23%,-1.94%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Harrah's Philadelphia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
