,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
                                                                                                 MONTHLY TABLE GAME REPORT 1,,,,,,,    MONTHLY TABLE GAME REPORT 1,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,,FY 2022/2023 Total,
,,,,,,,,,,,,,,,
MOHEGAN PENNSYLVANIA,,,,,,,,,,,,,,,
Total Table Games,65, 65 ,65,63,62,62,61,62,63,63,64,68,,,
Gross Revenue,"$2,818,880","$2,178,354","$2,087,081","$2,270,699","$2,618,738","$1,857,496","$2,362,662","$2,306,322","$2,702,823","$2,550,254","$2,771,989","$2,609,114",,"$29,134,412",
State Tax Due 2,"$394,643","$304,970","$292,191","$317,898","$366,623","$260,049","$330,773","$322,885","$378,395","$357,036","$388,078","$365,276",,"$4,078,818",
Local Share Assessment,"$56,378","$43,567","$41,742","$45,414","$52,375","$37,150","$47,253","$46,126","$54,056","$51,005","$55,440","$52,182",,"$582,688",
Non-Banking Tables 3,9,9,9,9,9,9,9,9,9,9,9,9,,,
Gross Revenue,"$163,043","$145,101","$142,297","$137,839","$138,290","$132,767","$156,491","$159,184","$168,167","$145,736","$137,608","$149,073",,"$1,775,596",
State Tax Due 2,"$22,826","$20,314","$19,922","$19,297","$19,361","$18,587","$21,909","$22,286","$23,543","$20,403","$19,265","$20,870",,"$248,583",
Local Share Assessment,"$3,261","$2,902","$2,846","$2,757","$2,766","$2,655","$3,130","$3,184","$3,363","$2,915","$2,752","$2,981",,"$35,512",
Banking Tables 4,52,52,52,50,49,49,48,48,48,48,49,53,,,
Gross Revenue,"$2,325,587","$1,721,014","$1,733,593","$1,884,760","$2,196,808","$1,674,394","$2,006,356","$1,934,462","$2,324,144","$2,205,341","$2,472,983","$2,246,555",,"$24,725,997",
State Tax Due 2,"$325,582","$240,942","$242,703","$263,866","$307,553","$234,415","$280,890","$270,825","$325,380","$308,748","$346,218","$314,518",,"$3,461,640",
Local Share Assessment,"$46,512","$34,420","$34,672","$37,695","$43,936","$33,488","$40,127","$38,689","$46,483","$44,107","$49,460","$44,931",,"$494,520",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,4,4,4,4,4,4,4,5,6,6,6,6,,,
Gross Revenue,"$330,250","$312,239","$211,191","$248,101","$283,640","$50,335","$199,814","$212,676","$210,512","$199,177","$161,398","$213,486",,"$2,632,819",
State Tax Due 2,"$46,235","$43,713","$29,567","$34,734","$39,710","$7,047","$27,974","$29,775","$29,472","$27,885","$22,596","$29,888",,"$368,595",
Local Share Assessment,"$6,605","$6,245","$4,224","$4,962","$5,673","$1,007","$3,996","$4,254","$4,210","$3,984","$3,228","$4,270",,"$52,656",
,,,,,,,,,,,,,,,
PARX,,,,,,,,,,,,,,,
Total Table Games,174, 172 ,174,178,166,178,179,177,181,182,184,180,,,
Gross Revenue,"$17,563,546","$17,759,452","$16,536,894","$17,078,819","$16,165,328","$15,802,417","$17,806,393","$17,023,072","$17,802,035","$15,744,357","$18,141,501","$14,696,728",,"$202,120,541",
State Tax Due 2,"$2,458,896","$2,486,323","$2,315,165","$2,391,035","$2,263,146","$2,212,338","$2,492,895","$2,383,230","$2,492,285","$2,204,210","$2,539,810","$2,057,542",,"$28,296,876",
Local Share Assessment,"$351,271","$355,189","$330,738","$341,576","$323,307","$316,048","$356,128","$340,461","$356,041","$314,887","$362,830","$293,935",,"$4,042,411",
Non-Banking Tables 3,48,48,48,48,48,48,48,48,48,48,48,48,,,
Gross Revenue,"$1,375,763","$1,402,152","$1,345,083","$1,378,664","$1,378,734","$1,418,820","$1,424,312","$1,344,622","$1,449,848","$1,378,941","$1,500,778","$1,607,168",,"$17,004,886",
State Tax Due 2,"$192,607","$196,301","$188,312","$193,013","$193,023","$198,635","$199,404","$188,247","$202,979","$193,052","$210,109","$225,004",,"$2,380,684",
Local Share Assessment,"$27,515","$28,043","$26,902","$27,573","$27,575","$28,376","$28,486","$26,892","$28,997","$27,579","$30,016","$32,143",,"$340,098",
Banking Tables 4,114,112,114,118,106,118,118,117,121,122,124,120,,,
Gross Revenue,"$15,848,059","$16,032,496","$14,937,429","$15,453,563","$14,377,133","$13,958,354","$15,881,766","$15,247,641","$15,978,901","$14,080,172","$16,263,493","$12,794,376",,"$180,853,381",
State Tax Due 2,"$2,218,728","$2,244,549","$2,091,240","$2,163,499","$2,012,799","$1,954,170","$2,223,447","$2,134,670","$2,237,046","$1,971,224","$2,276,889","$1,791,213",,"$25,319,473",
Local Share Assessment,"$316,961","$320,650","$298,749","$309,071","$287,543","$279,167","$317,635","$304,953","$319,578","$281,603","$325,270","$255,888",,"$3,617,068",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
