casino_id,name,city,state,facility_type,slots_revenue_2022,table_revenue_2022,total_revenue_2022,num_slots,num_tables,source
40,Ameristar Casino Council Bluffs,Council Bluffs,IA,casino,166853200,20876986,187730186,1301,28,IRGC CY2022 Annual Report (irgc.iowa.gov)
245,Catfish Bend Casino,Burlington,IA,casino,40940332,3953053,44893385,643,31,IRGC CY2022 Annual Report (irgc.iowa.gov)
365,Diamond Jo Casino Dubuque,Dubuque,IA,casino,68643660,5586414,74230074,753,29,IRGC CY2022 Annual Report (irgc.iowa.gov)
366,Diamond Jo Worth,Northwood,IA,casino,93801484,9138632,102940116,821,26,IRGC CY2022 Annual Report (irgc.iowa.gov)
557,Grand Falls Casino Resort,Larchwood,IA,casino,85040054,9921221,94961275,703,33,IRGC CY2022 Annual Report (irgc.iowa.gov)
588,Hard Rock Hotel Casino Sioux City,Sioux City,IA,casino,86319888,9677514,95997402,650,22,IRGC CY2022 Annual Report (irgc.iowa.gov)
594,Harrahs Council Bluffs,Council Bluffs,IA,casino,64193073,8822299,73015372,497,21,IRGC CY2022 Annual Report (irgc.iowa.gov)
655,Horseshoe Casino Council Bluffs,Council Bluffs,IA,casino,172007616,39052382,211059998,1256,56,IRGC CY2022 Annual Report (irgc.iowa.gov)
682,Isle of Capri Casino Waterloo,Waterloo,IA,casino,90726252,9321658,100047910,831,23,IRGC CY2022 Annual Report (irgc.iowa.gov)
676,Isle Casino Hotel Bettendorf,Bettendorf,IA,casino,68411722,5274337,73686059,885,20,IRGC CY2022 Annual Report (irgc.iowa.gov)
762,Lakeside Hotel Casino,Osceola,IA,casino,49104883,1988221,51093104,634,11,IRGC CY2022 Annual Report (irgc.iowa.gov)
1055,Prairie Meadows Casino,Altoona,IA,racino,214053927,20928691,234982618,1314,48,IRGC CY2022 Annual Report (irgc.iowa.gov)
1112,Q Casino,Dubuque,IA,casino,46244072,5503579,51747651,677,19,IRGC CY2022 Annual Report (irgc.iowa.gov)
1155,Rhythm City Casino Resort,Davenport,IA,casino,107356123,10221035,117577158,847,21,IRGC CY2022 Annual Report (irgc.iowa.gov)
1170,Riverside Casino and Golf Resort,Riverside,IA,casino,117063838,12849581,129913419,898,38,IRGC CY2022 Annual Report (irgc.iowa.gov)
1434,Wild Rose Casino Clinton,Clinton,IA,casino,31222932,2007979,33230911,517,9,IRGC CY2022 Annual Report (irgc.iowa.gov)
1435,Wild Rose Casino Emmetsburg,Emmetsburg,IA,casino,29231041,1649355,30880396,485,7,IRGC CY2022 Annual Report (irgc.iowa.gov)
1433,Wild Rose Casino Jefferson,Jefferson,IA,casino,34192802,1675571,35868373,514,12,IRGC CY2022 Annual Report (irgc.iowa.gov)
239,Casino Queen Marquette,Marquette,IA,casino,21006164,373825,21379989,426,16,IRGC CY2022 Annual Report (irgc.iowa.gov)
