casino_id,name,city,state,facility_type,slots_revenue_2022,table_revenue_2022,total_revenue_2022,num_slots,num_tables,source
44,Ameristar Casino St. Charles,St. Charles,MO,casino,NA,NA,302451040,1825,67,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
1162,River City Casino,St. Louis,MO,casino,NA,NA,249458172,1846,42,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
641,Hollywood Casino St. Louis,Maryland Heights,MO,casino,NA,NA,234370045,1865,77,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
41,Ameristar Casino Kansas City,Kansas City,MO,casino,NA,NA,198697524,1823,48,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
57,Argosy Casino Riverside,Riverside,MO,casino,NA,NA,177069598,1103,30,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
603,Harrahs North Kansas City,North Kansas City,MO,casino,NA,NA,176806703,984,56,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
825,Horseshoe St. Louis,St. Louis,MO,casino,NA,NA,150494248,1068,31,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
681,Ballys Kansas City,Kansas City,MO,casino,NA,NA,119857583,907,24,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
679,Isle of Capri Boonville,Boonville,MO,casino,NA,NA,88504262,830,16,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
675,Century Casino Cape Girardeau,Cape Girardeau,MO,casino,NA,NA,72052313,846,23,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
752,Century Casino Caruthersville,Caruthersville,MO,casino,NA,NA,48284321,529,7,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
1305,St. Jo Frontier Casino,St. Joseph,MO,casino,NA,NA,48140602,451,5,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
872,Mark Twain Casino,La Grange,MO,casino,NA,NA,38494911,417,2,MGC FY2022 Annual Report (mgc.dps.mo.gov) - AGR Jul 2021-Jun 2022
