"Casino","State","Actual_Revenue_M","Actual_Share","Predicted_Share","Error_pct"
"Parx Casino and Racing","PA",598.7,10.34,10.86,0.52
"Sands Casino Resort Bethlehem","PA",465,8.03,8.04,0.00999999999999979
"SugarHouse Casino","PA",320,5.53,5.72,0.19
"MGM Northfield Park","OH",280,4.84,4.54,-0.3
"Rivers Casino","PA",275,4.75,5.1,0.35
"Hollywood Casino Columbus","OH",272.2,4.7,5.71,1.01
"Mohegan Sun at Pocono Downs","PA",270,4.66,2.87,-1.79
"JACK Cleveland Casino","OH",268.1,4.63,4.04,-0.59
"Hollywood Casino Off Track Betting","PA",260,4.49,4.33,-0.16
"Jack Cincinnati Casino","OH",249.7,4.31,4.1,-0.21
"Harrah's Philadelphia Casino & Racetrack","PA",235,4.06,5.5,1.44
"Mount Airy Casino Resort","PA",225,3.89,3.48,-0.41
"Eldorado Scioto Downs","OH",225,3.89,4.12,0.23
"Hollywood Casino Toledo","OH",224.9,3.89,4.44,0.55
"Miami Valley Gaming","OH",220,3.8,2.9,-0.9
"Meadows Racetrack & Casino","PA",215,3.71,3.76,0.0499999999999998
"Live! Hotel and Casino Philadelphia","PA",205,3.54,6.4,2.86
"Jack Thistledown","OH",170,2.94,2.66,-0.28
"Presque Isle Downs & Casino","PA",165,2.85,1.1,-1.75
"Valley Forge Casino Resort","PA",160,2.76,2.44,-0.32
"Hollywood Gaming at Mahoning Valley","OH",155,2.68,1.8,-0.88
"Hollywood Gaming at Dayton","OH",145,2.5,1.68,-0.82
"Mount Airy Pittsburgh Casino Resort","PA",75,1.3,1.31,0.01
"Belterra Park Gaming & Entertainment","OH",75,1.3,2.48,1.18
"Lady Luck Casino Nemacolin","PA",35,0.6,0.6,0
