"Property","City","State","Revenue_M","Actual_Share_Pct","Predicted_Share_Pct","Error_pp"
"MGM National Harbor","Oxon Hill","MD",884.5,4.77,5.97,1.2
"Encore Boston Harbor","Everett","MA",729.7,3.93,3.34,-0.59
"Mohegan Sun","Uncasville","CT",722.7,3.9,1.9,-2
"Live! Casino & Hotel","Hanover","MD",705.4,3.8,3.79,-0.01
"Resorts World Casino NYC","Jamaica","NY",645,3.48,4.62,1.14
"Empire City Casino","Yonkers","NY",613.7,3.31,2.97,-0.34
"Parx Casino and Racing","Bensalem","PA",598.7,3.23,2.51,-0.72
"Wind Creek Bethlehem","Bethlehem","PA",515.8,2.78,2.56,-0.22
"Foxwoods Resort Casino","Mashantucket","CT",513.3,2.77,1.79,-0.98
"Hard Rock Casino Northern Indiana","Gary","IN",419.5,2.26,1.44,-0.82
"Rivers Casino Pittsburgh","Pittsburgh","PA",355,1.91,1.12,-0.79
"Horseshoe Hammond","Hammond","IN",346.1,1.87,1.15,-0.72
"Horseshoe Indianapolis","Shelbyville","IN",341.8,1.84,1.32,-0.52
"Ameristar Casino St. Charles","St. Charles","MO",302.5,1.63,0.9,-0.73
"MGM Northfield Park","Northfield","OH",285.9,1.54,0.62,-0.92
"Hollywood Casino Columbus","Columbus","OH",263.6,1.42,1.68,0.26
"JACK Cleveland Casino","Cleveland","OH",262.4,1.41,1.31,-0.1
"MGM Springfield","Springfield","MA",259.1,1.4,2.23,0.83
"Jake's 58","Islandia","NY",256.6,1.38,2.08,0.7
"Hard Rock Cincinnati","Cincinnati","OH",251.5,1.36,1.36,0
"River City Casino","St. Louis","MO",249.5,1.34,0.88,-0.46
"Harrahs Hoosier Park","Anderson","IN",245.6,1.32,1,-0.32
"Prairie Meadows Casino","Altoona","IA",235,1.27,0.35,-0.92
"Eldorado Scioto Downs","Columbus","OH",234.8,1.27,0.5,-0.77
"Hollywood Casino St. Louis","Maryland Heights","MO",234.4,1.26,1.05,-0.21
"Resorts World Catskills","Monticello","NY",228.7,1.23,1.97,0.74
