"Property","City","State","Revenue_M","State_Total_M","Actual_WS_Pct","Gravity_WS_Pct","LN_WS_Pct","Gravity_Error_pp","LN_Error_pp","NA","NA","NA"
"MGM National Harbor","Oxon Hill","MD",884.5,2051,43.12,44.7,32.81,42.45,1531.3,1.58,-10.31,-0.67
"Encore Boston Harbor","Everett","MA",729.7,1132,64.47,57.7,53.13,55,689.4,-6.77,-11.34,-9.47
"Mohegan Sun","Uncasville","CT",722.7,1236,58.47,52.34,50.62,52.83,185.8,-6.13,-7.85,-5.64
"Live! Casino & Hotel","Hanover","MD",705.4,2051,34.39,25.77,25.09,22.74,718.9,-8.62,-9.3,-11.65
"Resorts World Casino NYC","Jamaica","NY",645,2646,24.37,34.18,39.72,38.04,1971.6,9.81,15.35,13.67
"Empire City Casino","Yonkers","NY",613.7,2646,23.19,20.56,24.4,23.68,1110.4,-2.63,1.21,0.49
"Parx Casino and Racing","Bensalem","PA",598.7,3228,18.54,11.1,14.99,13.69,442.5,-7.44,-3.55,-4.85
"Wind Creek Bethlehem","Bethlehem","PA",515.8,3228,15.98,11.88,9.76,9.63,289,-4.1,-6.22,-6.35
"Foxwoods Resort Casino","Mashantucket","CT",513.3,1236,41.53,47.66,49.38,47.17,162,6.13,7.85,5.64
"Hard Rock Casino Northern Indiana","Gary","IN",419.5,2503,16.76,6.47,11.71,8.8,155.4,-10.29,-5.05,-7.96
"Rivers Casino Pittsburgh","Pittsburgh","PA",355,3228,11,5.73,6.29,6.93,194,-5.27,-4.71,-4.07
"Horseshoe Hammond","Hammond","IN",346.1,2503,13.82,10.34,13.72,8.88,173.4,-3.48,-0.1,-4.94
"Horseshoe Indianapolis","Shelbyville","IN",341.8,2503,13.65,10,11.14,9.32,166.8,-3.65,-2.51,-4.33
"Ameristar Casino St. Charles","St. Charles","MO",302.5,1905,15.88,12.15,10.77,11.56,127.6,-3.73,-5.11,-4.32
"MGM Northfield Park","Northfield","OH",285.9,2333,12.25,9.24,9.17,9.18,155.7,-3.01,-3.08,-3.07
"Hollywood Casino Columbus","Columbus","OH",263.6,2333,11.3,16.22,18.92,15.43,292.3,4.92,7.62,4.13
"JACK Cleveland Casino","Cleveland","OH",262.4,2333,11.25,10.83,9.31,10.18,176.7,-0.42,-1.94,-1.07
"MGM Springfield","Springfield","MA",259.1,1132,22.89,29.38,24.41,27.23,294.3,6.49,1.52,4.34
"Jake's 58","Islandia","NY",256.6,2646,9.7,15.88,11.87,13.3,552.4,6.18,2.17,3.6
"Hard Rock Cincinnati","Cincinnati","OH",251.5,2333,10.78,10.26,8.44,10.38,180.7,-0.52,-2.34,-0.4
"River City Casino","St. Louis","MO",249.5,1905,13.1,11.23,13.54,10.58,114.7,-1.87,0.44,-2.52
"Caesars Southern Indiana","Elizabeth","IN",248.2,2503,9.91,14.4,7.55,15.57,310.4,4.49,-2.36,5.66
"Harrahs Hoosier Park","Anderson","IN",245.6,2503,9.81,7.11,5.63,10.45,191.5,-2.7,-4.18,0.64
"Eldorado Scioto Downs","Columbus","OH",234.8,2333,10.06,7.16,6.55,7.05,113.3,-2.9,-3.51,-3.01
"Hollywood Casino St. Louis","Maryland Heights","MO",234.4,1905,12.3,13.98,16.86,13.51,154.3,1.68,4.56,1.21
"Resorts World Catskills","Monticello","NY",228.7,2646,8.64,6.88,4.83,4.98,167.9,-1.76,-3.81,-3.66
"Hollywood Casino Toledo","Toledo","OH",227.7,2333,9.76,9.97,6.09,10.48,183,0.21,-3.67,0.72
"Miami Valley Gaming","Lebanon","OH",224.8,2333,9.64,6.38,7.41,6.6,104.5,-3.26,-2.23,-3.04
"Live! Casino Philadelphia","Philadelphia","PA",222.4,3228,6.89,6.44,8.62,7.72,255,-0.45,1.73,0.83
"Rivers Casino Philadelphia","Philadelphia","PA",216.7,3228,6.71,6.28,8.4,7.52,248.5,-0.43,1.69,0.81
"Mohegan Sun Pocono","Wilkes-Barre","PA",215.5,3228,6.68,6.4,6.58,5.18,136.4,-0.28,-0.1,-1.5
"Horseshoe Casino Baltimore","Baltimore","MD",209.9,2051,10.23,11.22,17.46,14.66,422.5,0.99,7.23,4.43
"Ameristar Casino East Chicago","East Chicago","IN",205,2503,8.19,6.12,8.13,5.26,102.7,-2.07,-0.06,-2.93
"Rivers Casino & Resort Schenectady","Schenectady","NY",201.9,2646,7.63,6.03,4.61,5.17,175.8,-1.6,-3.02,-2.46
"Ameristar Casino Kansas City","Kansas City","MO",198.7,1905,10.43,7.66,7.5,7.13,78.6,-2.77,-2.93,-3.3
"Hollywood Casino at the Meadows","Washington","PA",189.5,3228,5.87,4.99,3.68,3.82,94.2,-0.88,-2.19,-2.05
"Mount Airy Casino Resort","Mount Pocono","PA",184.2,3228,5.71,7.97,6.95,6.03,163.8,2.26,1.24,0.32
"Jack Thistledown","Cleveland","OH",183.2,2333,7.85,9,11.95,8.77,147.5,1.15,4.1,0.92
"Hollywood Casino at Penn National","Grantville","PA",180.6,3228,5.59,5.49,4.27,7.11,200,-0.1,-1.32,1.52
"Argosy Casino Riverside","Riverside","MO",177.1,1905,9.3,9.34,9.77,8.31,85.6,0.04,0.47,-0.99
"Harrahs North Kansas City","North Kansas City","MO",176.8,1905,9.28,7.65,8.55,6.85,67.8,-1.63,-0.73,-2.43
"Ballys Evansville","Evansville","IN",176.6,2503,7.06,11.35,6.37,12.14,229.6,4.29,-0.69,5.08
"Harrah's Philadelphia Casino & Racetrack","Chester","PA",172.9,3228,5.35,7.78,9.14,9.31,277.2,2.43,3.79,3.96
"Hollywood Casino Lawrenceburg","Lawrenceburg","IN",170.2,2503,6.8,7.73,8.26,6.49,107.6,0.93,1.46,-0.31
"del Lago Resort & Casino","Waterloo","NY",163.2,2646,6.17,2.44,1.41,1.86,50.9,-3.73,-4.76,-4.31
"Hollywood Gaming at Mahoning Valley","Youngstown","OH",159.4,2333,6.83,5.72,6.36,5.71,87.7,-1.11,-0.47,-1.12
"Hollywood Gaming at Dayton","Dayton","OH",150.9,2333,6.47,8.05,6.99,8.22,136.3,1.58,0.52,1.75
